a_mean,a_median,a_pct10,a_pct25,a_pct75,a_pct90,annual,area,area_title,area_type,emp_prse,group,h_mean,h_median,h_pct10,h_pct25,h_pct75,h_pct90,hourly,jobs_1000,loc_quotient,mean_prse,naics,naics_title,occ_code,occ_title,own_code,pct_tot,pct_total,tot_emp,year
102420,89870,49870,66520,124060,173420, ,1,Alabama,2,1,major,49.24,43.21,23.98,31.98,59.64,83.37, ,36.608,0.75,0.5,0,Cross-industry,11-0000,Management Occupations,5.0,,,66790,2012
65810,60290,34710,45120,80900,102540, ,1,Alabama,2,1.5,major,31.64,28.99,16.69,21.69,38.89,49.3, ,35.889,0.73,2.5,0,Cross-industry,13-0000,Business and Financial Operations Occupations,5.0,,,65480,2012
71740,68920,35500,48470,91010,114120, ,1,Alabama,2,2.5,major,34.49,33.13,17.07,23.3,43.76,54.87, ,20.91,0.76,1.2,0,Cross-industry,15-0000,Computer and Mathematical Occupations,5.0,,,38150,2012
78760,74640,36630,52670,102550,127070, ,1,Alabama,2,1.5,major,37.87,35.88,17.61,25.32,49.3,61.09, ,21.868,1.21,1.1,0,Cross-industry,17-0000,Architecture and Engineering Occupations,5.0,,,39900,2012
59390,51960,30030,38550,72390,95090, ,1,Alabama,2,2.2,major,28.55,24.98,14.44,18.53,34.8,45.72, ,4.906,0.58,2.5,0,Cross-industry,19-0000,"Life, Physical, and Social Science Occupations",5.0,,,8950,2012
41020,38890,21720,29990,51870,61470, ,1,Alabama,2,2.3,major,19.72,18.7,10.44,14.42,24.94,29.56, ,9.198,0.64,1.5,0,Cross-industry,21-0000,Community and Social Service Occupations,5.0,,,16780,2012
85020,61690,30600,42360,112980,164900, ,1,Alabama,2,3.1,major,40.88,29.66,14.71,20.36,54.32,79.28, ,5.575,0.71,3.5,0,Cross-industry,23-0000,Legal Occupations,5.0,,,10170,2012
45130,44350,17420,22460,55920,69230, ,1,Alabama,2,1.8,major,21.7,21.32,8.38,10.8,26.88,33.28, ,57.784,0.9,3.5,0,Cross-industry,25-0000,"Education, Training, and Library Occupations",5.0,,,105420,2012
36710,29630,17020,19360,46700,66100, ,1,Alabama,2,4.5,major,17.65,14.25,8.18,9.31,22.45,31.78, ,10.144,0.76,2.5,0,Cross-industry,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",5.0,,,18510,2012
62340,48810,25980,36030,66210,111240, ,1,Alabama,2,1.6,major,29.97,23.47,12.49,17.32,31.83,53.48, ,64.736,1.1,1.2,0,Cross-industry,29-0000,Healthcare Practitioners and Technical Occupations,5.0,,,118100,2012
24120,22140,16680,18680,27300,34550, ,1,Alabama,2,2.2,major,11.6,10.65,8.02,8.98,13.13,16.61, ,27.745,0.92,0.8,0,Cross-industry,31-0000,Healthcare Support Occupations,5.0,,,50620,2012
35060,32440,17870,22680,44060,56400, ,1,Alabama,2,2.1,major,16.86,15.6,8.59,10.9,21.18,27.12, ,23.516,0.96,1.7,0,Cross-industry,33-0000,Protective Service Occupations,5.0,,,42900,2012
19220,18090,15870,16700,19590,25890, ,1,Alabama,2,0.9,major,9.24,8.7,7.63,8.03,9.42,12.45, ,80.677,0.91,0.5,0,Cross-industry,35-0000,Food Preparation and Serving Related Occupations,5.0,,,147190,2012
22000,19610,16180,17440,24180,31660, ,1,Alabama,2,1.8,major,10.58,9.43,7.78,8.39,11.62,15.22, ,29.644,0.91,0.7,0,Cross-industry,37-0000,Building and Grounds Cleaning and Maintenance Occupations,5.0,,,54080,2012
21220,18570,15970,16950,22830,32170, ,1,Alabama,2,4.1,major,10.2,8.93,7.68,8.15,10.98,15.47, ,23.608,0.81,1.1,0,Cross-industry,39-0000,Personal Care and Service Occupations,5.0,,,43070,2012
31520,21660,16510,17950,35780,58750, ,1,Alabama,2,0.9,major,15.15,10.41,7.94,8.63,17.2,28.25, ,116.37,1.1,0.9,0,Cross-industry,41-0000,Sales and Related Occupations,5.0,,,212310,2012
30780,28140,17920,21650,37100,47840, ,1,Alabama,2,0.7,major,14.8,13.53,8.62,10.41,17.84,23, ,157.39,0.96,0.3,0,Cross-industry,43-0000,Office and Administrative Support Occupations,5.0,,,287130,2012
31120,29180,17550,22040,37860,48120, ,1,Alabama,2,4.6,major,14.96,14.03,8.44,10.6,18.2,23.13, ,2.969,0.9,2.2,0,Cross-industry,45-0000,"Farming, Fishing, and Forestry Occupations",5.0,,,5420,2012
36360,33390,20940,25710,44550,56700, ,1,Alabama,2,1.5,major,17.48,16.05,10.07,12.36,21.42,27.26, ,41.265,1.08,0.8,0,Cross-industry,47-0000,Construction and Extraction Occupations,5.0,,,75280,2012
41630,39280,21860,29350,52210,65610, ,1,Alabama,2,1.6,major,20.02,18.89,10.51,14.11,25.1,31.54, ,49.217,1.26,0.8,0,Cross-industry,49-0000,"Installation, Maintenance, and Repair Occupations",5.0,,,89790,2012
32530,28350,17920,21480,40280,54900, ,1,Alabama,2,1.5,major,15.64,13.63,8.61,10.33,19.37,26.39, ,104.39,1.58,1.4,0,Cross-industry,51-0000,Production Occupations,5.0,,,190450,2012
